season,season_elo,team_id
2014,1394.7493927224602,1101
2015,1278.2625202817503,1101
2016,1196.713023174637,1101
2017,1220.408517053156,1101
2018,1271.2147785247166,1101
1985,1424.4299840547171,1102
1986,1376.9108117841183,1102
1987,1371.8407769178912,1102
1988,1345.5614827930942,1102
1989,1354.744050258424,1102
1990,1370.4902736657446,1102
1991,1368.483901895565,1102
1992,1331.5995965328862,1102
1993,1339.3831827023084,1102
1994,1305.934794843678,1102
1995,1285.1583651382996,1102
1996,1312.563812780327,1102
1997,1278.8580780422812,1102
1998,1309.7003987370335,1102
1999,1355.485099593494,1102
2000,1341.7130280503443,1102
2001,1317.9435154326454,1102
2002,1366.3534500034123,1102
2003,1435.962411967507,1102
2004,1500.6557482994303,1102
2005,1676.650326318677,1102
2006,1707.8517014667755,1102
2007,1850.8057363402052,1102
2008,1769.7169932007714,1102
2009,1661.136140593256,1102
2010,1481.319207301147,1102
2011,1477.0255156043727,1102
2012,1551.3388345167996,1102
2013,1527.9168259205255,1102
2014,1541.25279513825,1102
2015,1501.5564626793253,1102
2016,1540.9950518922221,1102
2017,1456.3794976514312,1102
2018,1432.4640667270864,1102
1985,1464.2380375134499,1103
1986,1451.010091998948,1103
1987,1575.032141630481,1103
1988,1551.6374957790974,1103
1989,1631.0686012538677,1103
1990,1647.5190625849086,1103
1991,1562.3704878222343,1103
1992,1471.280423633606,1103
1993,1418.5852029728446,1103
1994,1383.0970298118004,1103
1995,1320.986790343663,1103
1996,1330.5327537903197,1103
1997,1246.8084138632184,1103
1998,1363.1787755044863,1103
1999,1558.3020275702902,1103
2000,1602.9890771335527,1103
2001,1553.173380956692,1103
2002,1477.5534512508498,1103
2003,1436.546322557612,1103
2004,1507.1140897289001,1103
2005,1512.7519029744356,1103
2006,1603.0023717581512,1103
2007,1690.6363981128072,1103
2008,1750.3083317604408,1103
2009,1689.090948183254,1103
2010,1673.6303149406306,1103
2011,1645.258102856625,1103
2012,1631.926209016416,1103
2013,1673.9952102888349,1103
2014,1755.55768257672,1103
2015,1664.6889326491614,1103
2016,1662.9724430515148,1103
2017,1655.4393535782763,1103
2018,1495.7207437395111,1103
1985,1579.8626640847563,1104
1986,1686.292937083596,1104
1987,1759.190341147707,1104
1988,1792.0110518896436,1104
1989,1646.22005721681,1104
1990,1764.6850779173742,1104
1991,1774.699859141188,1104
1992,1821.8149930273462,1104
1993,1787.7856324011884,1104
1994,1680.4506126722558,1104
1995,1751.8485907619497,1104
1996,1779.0096306137318,1104
1997,1742.107228178422,1104
1998,1705.6415756238482,1104
1999,1672.1691293689203,1104
2000,1656.1042398688614,1104
2001,1696.046508780097,1104
2002,1766.0436373839439,1104
2003,1889.6414640017897,1104
2004,1829.8690842867718,1104
2005,1862.7590476756534,1104
2006,1883.9581689353026,1104
2007,1872.9788477571706,1104
2008,1774.6357705588057,1104
2009,1746.673737937913,1104
2010,1766.4739147500431,1104
2011,1733.9436261146416,1104
2012,1853.2842564660457,1104
2013,1831.6476059170482,1104
2014,1803.7088007064579,1104
2015,1762.0370556706303,1104
2016,1767.4714397919272,1104
2017,1746.8932244263206,1104
2018,1818.432723776504,1104
2000,1467.1343970508929,1105
2001,1404.111449110141,1105
2002,1373.3131894100886,1105
2003,1406.872745661941,1105
2004,1229.5074017321883,1105
2005,1228.0580883673306,1105
2006,1281.8805226167096,1105
2007,1269.4839146757522,1105
2008,1153.3426481306342,1105
2009,1211.9368730574847,1105
2010,1131.4917652507006,1105
2011,1153.0866651983283,1105
2012,1134.111230284795,1105
2013,1108.328093275701,1105
2014,1076.4168902565666,1105
2015,1112.804604098227,1105
2016,1128.1833685698439,1105
2017,1089.9382874271546,1105
2018,929.4792855354949,1105
1985,1459.339756459827,1106
1986,1408.84416117151,1106
1987,1420.6358128842746,1106
1988,1379.8449173919448,1106
1989,1319.8155569831904,1106
1990,1381.5855097644765,1106
1991,1366.382649196116,1106
1992,1390.026195676472,1106
1993,1366.210268446739,1106
1994,1398.0173937164982,1106
1995,1406.5395131115476,1106
1996,1304.343227690646,1106
1997,1187.9595573346576,1106
1998,1176.7637399607352,1106
1999,1206.1690212588128,1106
2000,1220.5283227323969,1106
2001,1288.6723519175619,1106
2002,1415.131992483918,1106
2003,1363.0772723524797,1106
2004,1306.8828530817314,1106
2005,1343.0638822131552,1106
2006,1281.3050492073435,1106
2007,1222.1832015911698,1106
2008,1210.30089498557,1106
2009,1316.6773269596201,1106
2010,1349.2870695139936,1106
2011,1294.5726408693595,1106
2012,1267.0736187122964,1106
2013,1185.5709594261727,1106
2014,1158.8023417203542,1106
2015,1214.2967201001984,1106
2016,1216.2096273659918,1106
2017,1200.7913660648426,1106
2018,1076.0949537987972,1106
2000,1428.6399604821943,1107
2001,1303.4238706354301,1107
2002,1169.787168134512,1107
2003,1142.6534282746322,1107
2004,1101.8415570864638,1107
2005,1175.0843720170524,1107
2006,1259.5064836821946,1107
2007,1404.2723908624384,1107
2008,1465.1451924446592,1107
2009,1457.1008165811054,1107
2010,1335.67914653587,1107
2011,1299.5737557825905,1107
2012,1358.284746082921,1107
2013,1433.3027974721838,1107
2014,1440.7959551341628,1107
2015,1400.350796568629,1107
2016,1535.9834643943286,1107
2017,1532.301929320617,1107
2018,1503.2846299235664,1107
1985,1510.3006394448087,1108
1986,1494.030207509369,1108
1987,1427.0096643031595,1108
1988,1322.4226523920593,1108
1989,1276.9168988602025,1108
1990,1220.2373637704034,1108
1991,1239.4578688706479,1108
1992,1274.9357880375096,1108
1993,1279.5125946762466,1108
1994,1216.975941790161,1108
1995,1164.0487893682432,1108
1996,1184.7655844692738,1108
1997,1210.1877318824554,1108
1998,1247.7380956169318,1108
1999,1307.0881908094086,1108
2000,1427.6629507417638,1108
2001,1415.707042727071,1108
2002,1372.4960802954377,1108
2003,1397.331338142907,1108
2004,1260.7286073269279,1108
2005,1198.3835164836946,1108
2006,1105.9627671145947,1108
2007,1087.9069716941947,1108
2008,1085.2680067170174,1108
2009,1059.028069629854,1108
2010,1005.4647049123614,1108
