,LTeamID,WTeamID,date,home,homeID,hscore,line,lineavg,linedok,linedonc,lineespn,linefox,linemassey,linemoore,lineopen,linepugh,linesag,linesage,linesaggm,linesagp,WMargin,neutral,road,roadID,rscore,std,favwins,homewins,favoriteID,underdogID,WinATS,LoseATS,Season,DayNum,WScore,LScore,WSeasonElo,LSeasonElo,SeasonEloDiff,PredMargin,PredBetWATS,PredBetLATS,PredBet,PredBetWATSProfit,PredBetLATSProfit,PredBetProfit
0,1448,1243,2017-03-14,Wake Forest,1448,88.0,-1.5,0.09,-2.56,-0.4,1.65,2.0,-2.13,0.14,0.0,0.23,-0.28,-0.05,-0.33,-0.24,-7,1.0,Kansas St.,1243.0,95.0,1.68,0,0,1243.0,1448.0,-1,1,2017,134,95,88,1817.590048,1628.452293,-189.13775499999997,-5,1,-1,1,1,-1,1
1,1309,1291,2017-03-14,New Orleans,1309,66.0,0.0,0.95,3.06,3.5,-1.23,3.0,3.15,-3.44,1.5,1.92,0.61,1.57,1.05,0.34,-1,1.0,Mount St. Marys,1291.0,67.0,1.86,0,0,1291.0,1309.0,-1,1,2017,134,67,66,1284.9646599999999,1283.53484,-1.429819999999836,0,1,-1,1,2,-2,2
2,1300,1413,2017-03-15,UC Davis,1413,67.0,-3.0,-2.33,2.31,-1.8,-5.51,-3.0,-1.58,-0.27,-3.5,-3.34,-1.63,-1.01,-0.97,-2.03,4,1.0,NC Central,1300.0,63.0,2.34,0,1,1300.0,1413.0,1,-1,2017,135,67,63,1386.152741,1389.581706,-3.4289649999998346,0,-1,1,1,1,-1,3
3,1344,1425,2017-03-15,Providence,1344,71.0,-2.5,0.44,-3.15,-1.4,2.21,2.0,0.06,1.01,0.0,-0.17,-0.26,-0.57,-0.62,-0.05,-4,1.0,USC,1425.0,75.0,1.73,0,0,1425.0,1344.0,-1,1,2017,135,75,71,1895.976116,1901.9247129999999,5.948596999999836,0,1,-1,1,2,-2,4
4,1315,1112,2017-03-16,Arizona,1112,100.0,17.5,16.59,16.74,18.0,16.66,14.0,17.91,19.22,16.5,19.79,17.91,18.8,18.66,17.54,18,1.0,North Dakota,1315.0,82.0,2.7,1,1,1112.0,1315.0,1,-1,2017,136,100,82,2021.0584059999999,1466.304543,554.7538629999999,16,-1,-1,-1,1,-3,3
5,1457,1139,2017-03-16,Butler,1139,76.0,11.0,11.06,12.95,9.5,11.06,6.0,8.49,16.45,11.5,15.3,13.14,12.56,12.84,13.33,12,1.0,Winthrop,1457.0,64.0,2.74,1,1,1139.0,1457.0,1,-1,2017,136,76,64,1992.591772,1555.655734,436.93603800000005,13,-1,1,1,0,-2,4
6,1190,1196,2017-03-16,Florida,1196,80.0,9.5,11.39,10.91,8.8,11.39,12.0,9.3,15.24,11.0,13.83,12.6,11.94,12.42,12.72,15,1.0,East Tennessee St.,1190.0,65.0,2.63,1,1,1196.0,1190.0,1,-1,2017,136,80,65,1914.3161910000001,1689.8715320000001,224.444659,6,-1,-1,-1,-1,-3,3
7,1195,1199,2017-03-16,Florida St.,1199,86.0,12.5,12.48,12.2,11.3,12.26,13.0,11.2,15.43,12.0,15.17,14.55,13.5,13.9,14.96,6,1.0,Florida Gulf Coast,1195.0,80.0,2.39,1,1,1199.0,1195.0,-1,1,2017,136,86,80,1856.140575,1575.18077,280.95980499999996,8,1,-1,1,0,-4,4
8,1355,1211,2017-03-16,Gonzaga,1211,66.0,22.5,23.39,25.1,18.5,23.39,23.0,26.51,26.1,22.5,26.45,24.17,23.88,23.92,24.32,20,1.0,South Dakota St.,1355.0,46.0,3.65,1,1,1211.0,1355.0,-1,1,2017,136,66,46,2084.516697,1627.19552,457.32117700000003,13,1,-1,1,1,-5,5
9,1305,1235,2017-03-16,Iowa St.,1235,84.0,6.5,6.44,5.9,6.6,7.83,6.0,6.52,8.87,6.5,7.03,7.85,7.09,7.45,8.08,11,1.0,Nevada,1305.0,73.0,2.0,1,1,1235.0,1305.0,1,-1,2017,136,84,73,1908.1724960000001,1715.559271,192.61322500000006,5,-1,-1,-1,0,-6,4
