,Season,SeasonElo,TeamID
57902,2014,1264.319993,1101
62101,2015,1125.322858,1101
68675,2016,1100.015423,1101
72986,2017,1216.719525,1101
81712,2018,1292.156206,1101
1206,2003,1551.850383,1102
6580,2004,1686.844034,1102
10770,2005,1661.867146,1102
14785,2006,1705.546033,1102
19191,2007,1909.609512,1102
24560,2008,1618.739449,1102
30090,2009,1537.732747,1102
35633,2010,1284.619613,1102
40853,2011,1452.622433,1102
46086,2012,1598.847468,1102
51543,2013,1535.835834,1102
56382,2014,1477.99932,1102
61828,2015,1436.719192,1102
66962,2016,1558.433245,1102
73656,2017,1356.785859,1102
81910,2018,1389.406561,1102
2187,2003,1490.840711,1103
5658,2004,1589.435604,1103
10541,2005,1533.451829,1103
15190,2006,1666.898553,1103
20146,2007,1739.664877,1103
24870,2008,1791.853031,1103
30091,2009,1642.480241,1103
35572,2010,1663.566007,1103
41001,2011,1653.341675,1103
46063,2012,1664.267674,1103
51389,2013,1749.708051,1103
56932,2014,1842.056058,1103
61572,2015,1633.505629,1103
67560,2016,1755.055735,1103
72649,2017,1640.464335,1103
81922,2018,1383.356482,1103
1094,2003,1651.745663,1104
5573,2004,1638.15906,1104
10098,2005,1842.278913,1104
14896,2006,1761.359715,1104
19821,2007,1844.239355,1104
24871,2008,1682.477918,1104
30163,2009,1657.855617,1104
35132,2010,1768.27077,1104
41847,2011,1741.893715,1104
45830,2012,1870.086303,1104
51333,2013,1823.165005,1104
56595,2014,1752.108938,1104
61707,2015,1753.431523,1104
67369,2016,1784.800416,1104
72734,2017,1706.564229,1104
82021,2018,1841.751243,1104
1170,2003,1397.287912,1105
6025,2004,1207.010462,1105
11047,2005,1311.854171,1105
16885,2006,1318.832201,1105
20508,2007,1230.880905,1105
25307,2008,1045.422881,1105
30653,2009,1208.5591,1105
37230,2010,1061.006812,1105
41512,2011,1022.684572,1105
47673,2012,1008.758828,1105
51977,2013,1094.046155,1105
56635,2014,1018.951608,1105
61944,2015,1097.594911,1105
67786,2016,1202.135927,1105
72442,2017,994.4682558,1105
81714,2018,786.4795922,1105
1873,2003,1458.325105,1106
5707,2004,1337.814247,1106
10420,2005,1419.900518,1106
14447,2006,1254.096472,1106
20646,2007,1124.365129,1106
25460,2008,1173.129451,1106
30217,2009,1363.136642,1106
35521,2010,1340.215383,1106
40650,2011,1221.640916,1106
46157,2012,1282.966595,1106
51245,2013,1067.514476,1106
56703,2014,1171.549964,1106
61904,2015,1237.05166,1106
68415,2016,1175.741893,1106
72201,2017,1143.177487,1106
81878,2018,1031.905362,1106
1356,2003,1368.136518,1107
6381,2004,1200.342539,1107
10284,2005,1375.266161,1107
14816,2006,1415.700616,1107
20593,2007,1518.792955,1107
24787,2008,1586.172575,1107
29689,2009,1543.664622,1107
34962,2010,1261.258993,1107
40176,2011,1298.872094,1107
45821,2012,1402.384295,1107
51011,2013,1533.560022,1107
56345,2014,1534.40477,1107
61741,2015,1384.008422,1107
66963,2016,1692.219404,1107
72546,2017,1558.660242,1107
81792,2018,1497.242405,1107
1270,2003,1369.418565,1108
6590,2004,1217.298882,1108
10015,2005,1175.311006,1108
15100,2006,1039.255776,1108
19512,2007,1035.022856,1108
25173,2008,1028.92316,1108
30132,2009,960.6472823,1108
34749,2010,908.5063215,1108
40532,2011,759.7614858,1108
46570,2012,837.7766974,1108
51385,2013,1058.245172,1108
56709,2014,960.2376514,1108
62017,2015,1010.597115,1108
68582,2016,972.2400962,1108
72933,2017,1143.947936,1108
81873,2018,1038.960728,1108
1192,2003,1490.951049,1110
6283,2004,1523.572523,1110
10099,2005,1586.414908,1110
14741,2006,1349.778403,1110
19457,2007,1462.541452,1110
24696,2008,1373.173538,1110
29705,2009,1549.236613,1110
34864,2010,1254.643756,1110
40509,2011,1384.71248,1110
