,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WMargin,WSeasonElo,LSeasonElo,SeasonEloDiff,PredMargin,lineavg,date
0,2017,134,1243,95,1448,88,7,1817.590048,1628.452293,189.13775499999997,5,0.0,2017-03-14
2,2017,134,1243,95,1448,88,-7,1817.590048,1628.452293,-189.13775499999997,-5,0.0,2017-03-14
4,2017,134,1291,67,1309,66,1,1284.9646599999999,1283.53484,1.429819999999836,0,1.0,2017-03-14
6,2017,134,1291,67,1309,66,-1,1284.9646599999999,1283.53484,-1.429819999999836,0,1.0,2017-03-14
8,2017,135,1413,67,1300,63,4,1386.152741,1389.581706,-3.4289649999998346,0,-2.5,2017-03-15
10,2017,135,1413,67,1300,63,-4,1386.152741,1389.581706,3.4289649999998346,0,-2.5,2017-03-15
12,2017,135,1425,75,1344,71,4,1895.976116,1901.9247129999999,-5.948596999999836,0,0.5,2017-03-15
14,2017,135,1425,75,1344,71,-4,1895.976116,1901.9247129999999,5.948596999999836,0,0.5,2017-03-15
16,2017,136,1112,100,1315,82,18,2021.0584059999999,1466.304543,554.7538629999999,16,16.5,2017-03-16
18,2017,136,1112,100,1315,82,-18,2021.0584059999999,1466.304543,-554.7538629999999,-16,16.5,2017-03-16
20,2017,136,1139,76,1457,64,12,1992.591772,1555.655734,436.93603800000005,13,11.0,2017-03-16
22,2017,136,1139,76,1457,64,-12,1992.591772,1555.655734,-436.93603800000005,-13,11.0,2017-03-16
24,2017,136,1196,80,1190,65,15,1914.3161910000001,1689.8715320000001,224.444659,6,11.5,2017-03-16
26,2017,136,1196,80,1190,65,-15,1914.3161910000001,1689.8715320000001,-224.444659,-6,11.5,2017-03-16
28,2017,136,1199,86,1195,80,6,1856.140575,1575.18077,280.95980499999996,8,12.5,2017-03-16
30,2017,136,1199,86,1195,80,-6,1856.140575,1575.18077,-280.95980499999996,-8,12.5,2017-03-16
32,2017,136,1211,66,1355,46,20,2084.516697,1627.19552,457.32117700000003,13,23.5,2017-03-16
34,2017,136,1211,66,1355,46,-20,2084.516697,1627.19552,-457.32117700000003,-13,23.5,2017-03-16
36,2017,136,1235,84,1305,73,11,1908.1724960000001,1715.559271,192.61322500000006,5,6.5,2017-03-16
38,2017,136,1235,84,1305,73,-11,1908.1724960000001,1715.559271,-192.61322500000006,-5,6.5,2017-03-16
40,2017,136,1292,81,1278,72,9,1779.530801,1595.310076,184.22072500000013,5,2.0,2017-03-16
42,2017,136,1292,81,1278,72,-9,1779.530801,1595.310076,-184.22072500000013,-5,2.0,2017-03-16
44,2017,136,1321,68,1435,66,2,1791.1684480000001,1726.8259739999999,64.34247400000027,1,-0.5,2017-03-16
46,2017,136,1321,68,1435,66,-2,1791.1684480000001,1726.8259739999999,-64.34247400000027,-1,-0.5,2017-03-16
48,2017,136,1323,60,1343,58,2,1925.835184,1750.201732,175.63345200000003,5,7.0,2017-03-16
50,2017,136,1323,60,1343,58,-2,1925.835184,1750.201732,-175.63345200000003,-5,7.0,2017-03-16
52,2017,136,1345,80,1436,70,10,1991.0120140000001,1671.897278,319.1147360000002,9,9.0,2017-03-16
54,2017,136,1345,80,1436,70,-10,1991.0120140000001,1671.897278,-319.1147360000002,-9,9.0,2017-03-16
56,2017,136,1388,85,1433,77,8,1846.0245690000002,1735.1797530000001,110.84481600000004,3,5.5,2017-03-16
58,2017,136,1388,85,1433,77,-8,1846.0245690000002,1735.1797530000001,-110.84481600000004,-3,5.5,2017-03-16
60,2017,136,1437,76,1291,56,20,2181.639899,1284.9646599999999,896.6752389999999,27,25.0,2017-03-16
62,2017,136,1437,76,1291,56,-20,2181.639899,1284.9646599999999,-896.6752389999999,-27,25.0,2017-03-16
