,date,home,homeID,hscore,road,roadID,rscore,lineavg
0,11/10/2017,Arizona,1112,101.0,Northern Arizona,1319,67.0,31.12
1,11/10/2017,Arizona St.,1113,94.0,Idaho St.,1226,74.0,20.27
2,11/10/2017,Arkansas,1116,95.0,Samford,1359,56.0,15.19
3,11/10/2017,California,1143,66.0,Cal Riverside,1415,74.0,16.93
4,11/10/2017,Central Florida,1416,88.0,Mercer,1273,79.0,9.59
5,11/10/2017,Charleston,1158,68.0,Siena,1373,60.0,10.15
6,11/10/2017,Clemson,1155,85.0,Western Carolina,1441,57.0,21.87
7,11/10/2017,Colorado,1160,66.0,Northern Colorado,1294,51.0,15.53
8,11/10/2017,Colorado St.,1161,72.0,CS Sacramento,1170,61.0,15.03
9,11/10/2017,Creighton,1166,92.0,Yale,1463,76.0,12.5
10,11/10/2017,Dayton,1173,78.0,Ball St.,1123,77.0,11.23
11,11/10/2017,Drexel,1180,69.0,Bowling Green,1132,78.0,2.52
12,11/10/2017,Duke,1181,97.0,Elon,1189,68.0,20.79
13,11/10/2017,Evansville,1191,77.0,Arkansas St.,1117,63.0,2.6
14,11/10/2017,Fordham,1200,54.0,Miami-Ohio,1275,55.0,7.28
15,11/10/2017,Hawaii,1218,82.0,Arkansas Pine Bluff,1115,70.0,18.33
16,11/10/2017,Indiana,1231,69.0,Indiana St.,1232,90.0,16.22
17,11/10/2017,Kansas,1242,92.0,Tennessee St.,1398,56.0,25.51
18,11/10/2017,Kentucky,1246,73.0,Utah Valley,1430,63.0,23.2
19,11/10/2017,Loyola-Chicago,1260,84.0,Wright St.,1460,80.0,7.81
20,11/10/2017,Marshall,1267,102.0,Tennessee-Martin,1404,91.0,6.4
21,11/10/2017,Memphis,1272,70.0,Alabama,1104,82.0,-8.11
22,11/10/2017,Michigan St.,1277,98.0,North Florida,1316,66.0,24.84
23,11/10/2017,Mississippi,1279,94.0,Louisiana-Lafayette,1418,76.0,9.96
24,11/10/2017,Missouri,1281,74.0,Iowa St.,1235,59.0,-4.14
25,11/10/2017,Montana St.,1286,89.0,Nebraska Omaha,1303,80.0,0.11
26,11/10/2017,Navy,1298,71.0,Pittsburgh,1338,62.0,-4.66
27,11/10/2017,Nevada,1305,88.0,Idaho,1225,64.0,13.14
28,11/10/2017,North Carolina,1314,86.0,Northern Iowa,1320,69.0,20.53
29,11/10/2017,North Carolina St.,1301,102.0,VMI,1440,67.0,22.17
30,11/10/2017,Northern Kentucky,1297,81.0,East Tennessee St.,1190,63.0,0.21
31,11/10/2017,Oakland,1324,85.0,IPFW,1236,71.0,6.98
32,11/10/2017,Oklahoma St.,1329,78.0,Pepperdine,1337,47.0,21.32
33,11/10/2017,Old Dominion,1330,57.0,Towson,1406,54.0,2.49
34,11/10/2017,Oregon St.,1333,99.0,Southern Utah,1381,82.0,16.37
35,11/10/2017,Purdue,1345,105.0,SIU Edwardsville,1188,74.0,30.2
36,11/10/2017,Rice,1349,72.0,Eastern Kentucky,1184,73.0,3.76
37,11/10/2017,Richmond,1350,63.0,Delaware,1174,76.0,13.59
38,11/10/2017,San Francisco,1362,71.0,Long Beach St.,1253,83.0,9.95
39,11/10/2017,Seton Hall,1371,90.0,Fairleigh Dickinson,1192,68.0,22.57
40,11/10/2017,South Dakota St.,1355,65.0,UC Irvine,1414,54.0,3.43
41,11/10/2017,South Florida,1378,60.0,Florida Atlantic,1194,59.0,3.91
42,11/10/2017,St. Bonaventure,1382,75.0,Niagara,1310,77.0,15.0
43,11/10/2017,Stanford,1390,78.0,Cal Poly SLO,1142,62.0,17.9
44,11/10/2017,Syracuse,1393,77.0,Cornell,1165,45.0,19.22
45,11/10/2017,TCU,1395,83.0,Louisiana-Monroe,1419,73.0,22.16
46,11/10/2017,Texas Tech,1403,75.0,South Alabama,1375,50.0,19.84
47,11/10/2017,Troy St.,1407,80.0,North Dakota,1315,83.0,2.6
48,11/10/2017,UCLA,1417,63.0,Georgia Tech,1210,60.0,6.59
49,11/10/2017,USC,1425,84.0,Cal St. Fullerton,1168,42.0,20.72
50,11/10/2017,Vanderbilt,1435,73.0,Austin Peay,1122,54.0,23.18
51,11/10/2017,Villanova,1437,75.0,Columbia,1162,60.0,25.31
52,11/10/2017,Virginia,1438,60.0,NC Greensboro,1422,48.0,20.17
53,11/10/2017,Virginia Tech,1439,111.0,Detroit,1178,79.0,20.37
54,11/10/2017,Wake Forest,1448,83.0,Georgia Southern,1204,85.0,13.94
